name,long,lat
gleditsia triacanthos,-90.2399482,38.72317187
quercus palustris,-90.23433497,38.72341547
other,-90.23543157,38.72296177
quercus palustris,-90.2371133,38.72163366
other,-90.23649347,38.72090469
other,-90.28779545,38.66101737
pyrus calleryana,-90.28479499,38.64989946
tilia cordata,-90.28438046,38.64864289
other,-90.28498921,38.64927743
other,-90.28495827,38.64941341
other,-90.28163046,38.64822673
tilia cordata,-90.28998971,38.64917576
tilia cordata,-90.28995004,38.64930168
tilia cordata,-90.28993043,38.64948925
other,-90.25023265,38.60051254
other,-90.23879252,38.71794168
acer platanoides,-90.23883088,38.71773041
acer saccharum,-90.2331632,38.71405725
fraxinus pennsylvanica,-90.23412933,38.71344817
other,-90.27630158,38.65325573
quercus palustris,-90.28020519,38.65352805
tilia cordata,-90.28501436,38.64854763
other,-90.24107742,38.7173945
acer rubrum,-90.2409512,38.71813327
acer rubrum,-90.24090988,38.71839747
other,-90.26601599,38.6625072
other,-90.26968954,38.66339719
pyrus calleryana,-90.29210995,38.65950697
other,-90.25014405,38.58397401
fraxinus pennsylvanica,-90.25019627,38.584301
other,-90.23562011,38.71445051
acer saccharum,-90.27681961,38.65330543
quercus palustris,-90.29337528,38.65011909
other,-90.29321274,38.6501131
pyrus calleryana,-90.25635832,38.60030298
platanus acerifolia,-90.25667855,38.60034249
pyrus calleryana,-90.25799398,38.60046283
platanus acerifolia,-90.25517648,38.60384372
other,-90.25068799,38.58236546
other,-90.232552,38.71233741
tilia cordata,-90.25391569,38.60087126
other,-90.25264237,38.6007384
other,-90.24848455,38.58052522
fraxinus pennsylvanica,-90.24780384,38.58132097
other,-90.25466745,38.58430623
other,-90.25564452,38.58497739
fraxinus pennsylvanica,-90.25189437,38.58824504
other,-90.25183443,38.58487073
other,-90.24445113,38.59718818
other,-90.2435041,38.59710118
quercus palustris,-90.24431632,38.59727532
other,-90.24468735,38.59737285
other,-90.25010296,38.59805419
acer rubrum,-90.24627033,38.59849105
