,name,long,lat
792,other,-115.215121,36.14442982
793,other,-115.2152868,36.14441257
794,other,-115.2153513,36.14441001
795,other,-115.2154273,36.14441088
796,other,-115.2155116,36.14440488
797,other,-115.2156063,36.14440133
798,other,-115.2157151,36.14439524
799,other,-115.215784,36.14439546
800,other,-115.2158492,36.14439414
801,other,-115.2159376,36.144397
802,other,-115.2160038,36.14438881
803,other,-115.2161309,36.14437788
804,other,-115.2161925,36.14437334
805,other,-115.2172645,36.14438654
806,other,-115.2174295,36.14438439
807,other,-115.2175058,36.1443731
808,other,-115.2176126,36.14436556
809,other,-115.2176974,36.14436475
810,other,-115.2178343,36.14436544
811,other,-115.2179074,36.14436304
812,other,-115.2180018,36.14436384
813,other,-115.2180789,36.1443599
814,other,-115.2181449,36.14435433
815,other,-115.218261,36.14433997
816,other,-115.2183381,36.14433652
817,other,-115.2194313,36.14435012
818,other,-115.2195804,36.14433833
819,other,-115.2196452,36.14432922
820,other,-115.2197172,36.14432797
821,other,-115.2197917,36.14433412
822,other,-115.2198591,36.14433345
823,other,-115.2200174,36.14432877
824,other,-115.2200976,36.14432868
825,other,-115.2201962,36.14431965
826,other,-115.2202752,36.14431709
827,other,-115.2204132,36.14430605
828,other,-115.2204868,36.14430407
829,other,-115.2205224,36.14430242
